variable,coefficient
(Intercept),13.683901796150902
availability_of_middle_school,1.7197631831655817
public_transport,1.3357065528454848
sub_centre,0.9969845140316097
is_early_childhood_edu_provided_,0.904979759377783
availability_of_govt_degree_coll,-0.8422030745587239
weekly_haat,0.8391233172775647
availability_of_high_school,0.6322883477457579
availability_of_mid_day_meal_sch,0.43664926802754406
telephone_services,0.4134999566183585
is_primary_school_with_computer_,0.3755271572170312
phc,0.3497597584104694
any_primary_sch_toilet,-0.3199889659365395
chc,0.28839770483445104
no_electricity,-0.26940414892791614
is_village_connected_to_all_weat,-0.2504847321363532
is_atm_available,-0.2362396265136682
is_broadband_available,0.1996342696881799
is_vocational_edu_centre_availab,-0.13237902124558973
total_no_of_newly_born_children,0.01994752771654678
total_shg,0.01763907791861815
total_shg_accessed_bank_loans,-0.012204611061598083
total_hhd_got_benefit_under_stat,0.0088791239183266
total_no_of_women_delivered_babi,0.008052310746989614
total_hhd_having_pmsbhgy_benefit,0.004702392042606284
total_anemic_adolescent_girls,-0.004679886872566894
total_underweight_child_age_unde,0.004474353836594944
total_hhd_having_bpl_cards,0.0038229177919718933
total_hhd_availing_pmjdy_bank_ac,0.003805341470476123
total_minority_children_getting_,0.003795642699103729
no_of_children_not_attending_sch,0.0035204930484508293
total_no_of_pregnant_women,0.0029416786713033724
total_no_of_farmers_received_ben,0.002527936553068258
gp_total_no_of_eligible_benefici,-4.4688591943503935e-5
total_no_of_farmers_subscribed_a,3.773363148740723e-5
