variable,estimate,p_value,adj_r2,rmse,district,theme
availability_of_high_school,2.7304831744942497,0.0010256076489207082,0.009259480595835923,12.949128741249176,ahmadnagar,Education
availability_of_middle_school,2.810188529346176,4.692697802812556e-4,0.010627785095208675,12.940183678100956,ahmadnagar,Education
no_of_children_not_attending_sch,0.008283707364596432,0.0033351921191242515,0.007216183373811247,12.962474965683352,ahmadnagar,Education
total_minority_children_getting_,0.0056412597202472265,0.019282236283175908,0.004248377096129685,12.981835377485114,ahmadnagar,Education
is_atm_available,3.6051590887307556,0.001735644208494001,0.008344407381460694,12.955107433847898,ahmadnagar,Facilities
is_bank_available,3.3184666312467006,7.632617976036682e-4,0.00977544677948916,12.94575642401701,ahmadnagar,Facilities
is_broadband_available,3.3843982278705362,2.7844725966006666e-5,0.015626029359309235,12.907455806638536,ahmadnagar,Facilities
is_primary_school_with_computer_,1.7434655465159432,0.03810754785879801,0.003134557904027946,12.989093902526491,ahmadnagar,Facilities
is_village_connected_to_all_weat,1.8159775681563695,0.038514598097505744,0.003117431217732891,12.989205481868918,ahmadnagar,Facilities
telephone_services,3.1409962718738202,0.009250057774633141,0.005476953837244558,12.97382429155234,ahmadnagar,Facilities
total_hhd_having_piped_water_con,0.0125385283949715,1.4336361847426307e-12,0.04565627963032204,12.7090473040059,ahmadnagar,Facilities
weekly_haat,3.714570203785187,5.560385362728713e-5,0.014396294011444932,12.915515650223995,ahmadnagar,Facilities
availability_of_mother_child_hea,1.785017870939323,0.026310515325985634,0.0037366477588032243,12.985170713615709,ahmadnagar,Health
sub_centre,2.13698838920618,0.021998518095558788,0.0040307046795402535,12.983254221803412,ahmadnagar,Health
total_anemic_adolescent_girls,0.04165633817317715,8.841122567620215e-7,0.021790669808087415,12.866975869835231,ahmadnagar,Health
total_anemic_pregnant_women,0.05283307733446963,0.0015537193611915698,0.008536575220267073,12.953852121198626,ahmadnagar,Health
total_no_of_newly_born_children,0.06402090176532964,8.332408016023077e-7,0.02189684564527783,12.866277553551546,ahmadnagar,Health
total_no_of_newly_born_underweig,0.1837927186786403,0.0027462617720253285,0.007550772456252575,12.960290467901636,ahmadnagar,Health
total_no_of_pregnant_women,0.055810060107397384,3.976152411477225e-8,0.02735263018399936,12.830343818819145,ahmadnagar,Health
total_no_of_women_delivered_babi,0.07977815499058606,1.8121080252354e-4,0.012303587887667833,12.92921996494034,ahmadnagar,Health
gp_total_hhd_receiving_food_grai,0.003971342898678392,0.01591040695500218,0.004567470504987847,12.97975516494707,ahmadnagar,Others
gp_total_no_of_eligible_benefici,0.009285013274113376,1.337145809465062e-4,0.01284088659272098,12.925702792014492,ahmadnagar,Others
total_hhd_availing_pmjdy_bank_ac,0.009761567464376758,1.1573067509878005e-9,0.03369493698797155,12.788444222528945,ahmadnagar,Others
total_hhd_got_benefit_under_stat,0.01686763947714896,0.01088191247819501,0.005203199891531951,12.975609766122767,ahmadnagar,Others
total_hhd_having_bpl_cards,0.005241367146488861,0.0022290935886919864,0.007911072450029089,12.957937694411601,ahmadnagar,Others
total_hhd_having_pmsbhgy_benefit,0.007514071414049316,0.007682589178882154,0.005791020659474677,12.971775586133322,ahmadnagar,Others
total_hhd_registered_under_pmjay,0.012265618400384646,4.34093521207504e-6,0.018942414480027314,12.885694661853577,ahmadnagar,Others
total_no_of_beneficiaries_receiv,0.11372705653857222,3.0036829004105018e-6,0.019601009569083838,12.881368779209,ahmadnagar,Others
total_no_of_farmers_received_ben,0.005059637595670553,9.3537514917511e-5,0.013473603198149164,12.92155978326973,ahmadnagar,Others
availability_of_high_school,8.11007509829795,5.420881737572595e-10,0.07422582908124253,12.192198572187703,akola,Education
availability_of_middle_school,6.5142146591992836,1.8341900452018306e-8,0.061085428551314824,12.278421471875252,akola,Education
availability_of_ssc_school,8.882121459992103,7.029854643800391e-8,0.056042307502347954,12.311352391019625,akola,Education
is_vocational_edu_centre_availab,17.753674139446755,1.3393809666803894e-6,0.044935957924408965,12.383566611532776,akola,Education
no_of_children_not_attending_sch,0.021890150396562082,0.0025045717742795607,0.016591107750435485,12.565985750938177,akola,Education
total_minority_children_getting_,0.018491924092329408,9.960474098588275e-7,0.04605416352295033,12.376315040713612,akola,Education
is_atm_available,12.018139285435437,7.324263592219149e-10,0.07310773083028044,12.199558878186757,akola,Facilities
is_bank_available,10.761513046041465,2.7861919130094017e-10,0.0766953428891396,12.175926294674948,akola,Facilities
