variable,estimate,p_value,adj_r2,rmse,district,theme
availability_of_high_school,2.7304831744942497,0.0010256076489207082,0.009259480595835923,12.949128741249176,ahmadnagar,Education
availability_of_middle_school,2.810188529346176,4.692697802812556e-4,0.010627785095208675,12.940183678100956,ahmadnagar,Education
no_of_children_not_attending_sch,0.008283707364596432,0.0033351921191242515,0.007216183373811247,12.962474965683352,ahmadnagar,Education
total_minority_children_getting_,0.0056412597202472265,0.019282236283175908,0.004248377096129685,12.981835377485114,ahmadnagar,Education
availability_of_mid_day_meal_sch,0.6346165029728247,0.5957933698635406,-6.827462238874205e-4,13.013939755789522,ahmadnagar,Education
is_vocational_edu_centre_availab,-1.9147459072976063,0.3220157351599714,-1.7411753025609045e-5,13.009612678866295,ahmadnagar,Education
availability_of_adult_edu_centre,-0.8207518579997034,0.6409933022962822,-7.4359972863558e-4,13.01433545153233,ahmadnagar,Education
availability_of_ssc_school,1.8460784355945592,0.07963221745955984,0.0019698513114859706,12.996679714175654,ahmadnagar,Education
is_early_childhood_edu_provided_,1.4810587710405694,0.5394483218415614,-5.921741372389988e-4,13.013350794724706,ahmadnagar,Education
availability_of_govt_degree_coll,3.0415828043150017,0.08241402257110476,0.0019169334833152307,12.997024266366013,ahmadnagar,Education
availability_of_public_library,1.429249674019564,0.11110975916242315,0.0014628518841356408,12.999980452410487,ahmadnagar,Education
total_no_of_pregnant_women,0.055810060107397384,3.976152411477225e-8,0.02735263018399936,12.830343818819145,ahmadnagar,Health
total_no_of_women_delivered_babi,0.07977815499058606,1.8121080252354e-4,0.012303587887667833,12.92921996494034,ahmadnagar,Health
total_anemic_pregnant_women,0.05283307733446963,0.0015537193611915698,0.008536575220267073,12.953852121198626,ahmadnagar,Health
total_no_of_newly_born_children,0.06402090176532964,8.332408016023077e-7,0.02189684564527783,12.866277553551546,ahmadnagar,Health
total_no_of_newly_born_underweig,0.1837927186786403,0.0027462617720253285,0.007550772456252575,12.960290467901636,ahmadnagar,Health
total_underweight_child_age_unde,0.020334988158699295,0.05995438608917386,0.0024122974424156673,12.993798554667787,ahmadnagar,Health
total_no_of_lactating_mothers,0.013369276991664084,0.10735721424350952,0.0015144479559126012,12.999644582788273,ahmadnagar,Health
total_anemic_adolescent_girls,0.04165633817317715,8.841122567620215e-7,0.021790669808087415,12.866975869835231,ahmadnagar,Health
phc,-0.9390498591530342,0.697234773597172,-8.064928564410767e-4,13.01474439714205,ahmadnagar,Health
sub_centre,2.13698838920618,0.021998518095558788,0.0040307046795402535,12.983254221803412,ahmadnagar,Health
chc,1.313140776063874,0.21808946576407545,4.923639221193765e-4,13.006296321863104,ahmadnagar,Health
availability_of_mother_child_hea,1.785017870939323,0.026310515325985634,0.0037366477588032243,12.985170713615709,ahmadnagar,Health
total_hhd_having_piped_water_con,0.0125385283949715,1.4336361847426307e-12,0.04565627963032204,12.7090473040059,ahmadnagar,Facilities
no_electricity,1.1341335141071802,0.8062762579575545,-8.933240126998143e-4,13.015308972213086,ahmadnagar,Facilities
is_bank_available,3.3184666312467006,7.632617976036682e-4,0.00977544677948916,12.94575642401701,ahmadnagar,Facilities
public_transport,-0.4019698000354628,0.6503572642858941,-7.5501619838092e-4,13.014409685003942,ahmadnagar,Facilities
telephone_services,3.1409962718738202,0.009250057774633141,0.005476953837244558,12.97382429155234,ahmadnagar,Facilities
is_broadband_available,3.3843982278705362,2.7844725966006666e-5,0.015626029359309235,12.907455806638536,ahmadnagar,Facilities
weekly_haat,3.714570203785187,5.560385362728713e-5,0.014396294011444932,12.915515650223995,ahmadnagar,Facilities
any_primary_sch_toilet,-4.4512697197390185,0.08407173935050412,0.0018863065055340078,12.9972236768826,ahmadnagar,Facilities
is_primary_school_with_computer_,1.7434655465159432,0.03810754785879801,0.003134557904027946,12.989093902526491,ahmadnagar,Facilities
is_village_connected_to_all_weat,1.8159775681563695,0.038514598097505744,0.003117431217732891,12.989205481868918,ahmadnagar,Facilities
is_atm_available,3.6051590887307556,0.001735644208494001,0.008344407381460694,12.955107433847898,ahmadnagar,Facilities
recreational_centre,0.32566550304501013,0.7098728249741044,-8.188286018910862e-4,13.014824605494221,ahmadnagar,Facilities
total_hhd_having_bpl_cards,0.005241367146488861,0.0022290935886919864,0.007911072450029089,12.957937694411601,ahmadnagar,Others
gp_total_hhd_receiving_food_grai,0.003971342898678392,0.01591040695500218,0.004567470504987847,12.97975516494707,ahmadnagar,Others
