variable,estimate,std_error,t_value,p_value,district
no_of_children_not_attending_sch,0.004707471871884101,0.0028759445407931044,1.6368437586720337,0.10196711810767065,ahmadnagar
total_minority_children_getting_,-0.0071360459645825715,0.0030121409303880088,-2.369094318459841,0.018014459657175082,ahmadnagar
is_vocational_edu_centre_availab,-4.433439218827784,1.8805231043679305,-2.357556367443794,0.018581002779314917,ahmadnagar
availability_of_ssc_school,-2.149430031130192,1.16513777081247,-1.8447861574613262,0.06535422812882588,ahmadnagar
total_no_of_pregnant_women,0.07703822156667191,0.01896413043973502,4.062312364465488,5.226016242353761e-5,ahmadnagar
total_no_of_women_delivered_babi,-0.05181385595997904,0.030808402353027658,-1.6818092469143275,0.09290749786465027,ahmadnagar
total_anemic_pregnant_women,-0.08013653713579366,0.02665149853626569,-3.00683044245144,0.002703602388868312,ahmadnagar
total_no_of_lactating_mothers,-0.0140838668713101,0.009245586944496322,-1.5233069523718978,0.12798739642374218,ahmadnagar
total_anemic_adolescent_girls,0.03692391015774644,0.009526405312301884,3.8759541450608763,1.1289285627109568e-4,ahmadnagar
total_hhd_having_piped_water_con,0.010399944684391772,0.0022303050378507123,4.663014479137765,3.523412892713514e-6,ahmadnagar
public_transport,-2.5174361310482327,0.8870151869229602,-2.8380981162015653,0.004627003417372352,ahmadnagar
telephone_services,1.6849006189033848,1.192701829983704,1.4126754705544518,0.1580517912622034,ahmadnagar
is_broadband_available,1.3273249016048418,0.8456764496351545,1.569542231165929,0.1168272966613883,ahmadnagar
weekly_haat,1.9683762392513262,0.9769166980661218,2.014886472048099,0.044174752293087614,ahmadnagar
any_primary_sch_toilet,-6.652981023882357,2.49506076633394,-2.666460518177183,0.0077849837176429725,ahmadnagar
is_primary_school_with_computer_,1.5133598311386396,0.8232548408787341,1.8382641145763494,0.06630992717913804,ahmadnagar
total_hhd_availing_pmjdy_bank_ac,0.005179029275646728,0.002073615852137016,2.4975837594554227,0.012658654263718391,ahmadnagar
total_shg,-0.01603355137016066,0.010368097647009685,-1.5464313624385064,0.1223061187536587,ahmadnagar
availability_of_high_school,2.974317146742388,1.611560643234226,1.8456129213811394,0.06557319138144205,akola
availability_of_middle_school,2.6155991003780623,1.3773748722980312,1.8989740215125028,0.05817609910300061,akola
is_vocational_edu_centre_availab,15.09734855258806,3.311938279073391,4.5584631356149465,6.569456833751116e-6,akola
total_no_of_newly_born_children,0.07736419351199293,0.03546799959636029,2.18123926898691,0.029657473844224718,akola
total_no_of_lactating_mothers,0.0636579617016206,0.03744259656139021,1.7001481613928175,0.08976043227072693,akola
sub_centre,3.4607511669456463,1.5585727154937228,2.220461793371863,0.026860535738903197,akola
availability_of_mother_child_hea,-2.2894713222803955,1.139293866273019,-2.00955292576968,0.04504600693479012,akola
total_hhd_having_piped_water_con,-0.007673774448199572,0.0028602633243153455,-2.6828909013251168,0.007554527425487139,akola
