variable,estimate,std_error,t_value,p_value,district
any_primary_sch_toilet,-6.652981023882357,2.49506076633394,-2.666460518177183,0.0077849837176429725,ahmadnagar
is_vocational_edu_centre_availab,-4.433439218827784,1.8805231043679305,-2.357556367443794,0.018581002779314917,ahmadnagar
public_transport,-2.5174361310482327,0.8870151869229602,-2.8380981162015653,0.004627003417372352,ahmadnagar
total_anemic_adolescent_girls,0.03692391015774644,0.009526405312301884,3.8759541450608763,1.1289285627109568e-4,ahmadnagar
total_anemic_pregnant_women,-0.08013653713579366,0.02665149853626569,-3.00683044245144,0.002703602388868312,ahmadnagar
total_hhd_availing_pmjdy_bank_ac,0.005179029275646728,0.002073615852137016,2.4975837594554227,0.012658654263718391,ahmadnagar
total_hhd_having_piped_water_con,0.010399944684391772,0.0022303050378507123,4.663014479137765,3.523412892713514e-6,ahmadnagar
total_minority_children_getting_,-0.0071360459645825715,0.0030121409303880088,-2.369094318459841,0.018014459657175082,ahmadnagar
total_no_of_pregnant_women,0.07703822156667191,0.01896413043973502,4.062312364465488,5.226016242353761e-5,ahmadnagar
weekly_haat,1.9683762392513262,0.9769166980661218,2.014886472048099,0.044174752293087614,ahmadnagar
availability_of_mother_child_hea,-2.2894713222803955,1.139293866273019,-2.00955292576968,0.04504600693479012,akola
is_atm_available,5.013050143793974,1.9989981987071435,2.5077812211317525,0.012483080847301311,akola
is_village_connected_to_all_weat,3.846045105159319,1.125222780347532,3.4180298980184567,6.852584686734532e-4,akola
is_vocational_edu_centre_availab,15.09734855258806,3.311938279073391,4.5584631356149465,6.569456833751116e-6,akola
sub_centre,3.4607511669456463,1.5585727154937228,2.220461793371863,0.026860535738903197,akola
total_hhd_got_benefit_under_stat,0.07304869790178944,0.010598764489309293,6.892189931710609,1.7626577474984853e-11,akola
total_hhd_having_piped_water_con,-0.007673774448199572,0.0028602633243153455,-2.6828909013251168,0.007554527425487139,akola
total_hhd_having_pmsbhgy_benefit,0.022845344882986146,0.007184052769251534,3.1800079449258103,0.001569389662069713,akola
total_no_of_newly_born_children,0.07736419351199293,0.03546799959636029,2.18123926898691,0.029657473844224718,akola
availability_of_middle_school,2.887021208269342,0.9661861411940165,2.9880590138682286,0.002886719105638642,amravati
is_bank_available,3.700621016865903,1.5813610474024553,2.3401493434687453,0.019502014596656084,amravati
sub_centre,2.7041705428085288,1.3034836846429427,2.074571837505791,0.03832077480513507,amravati
total_hhd_having_bpl_cards,0.011985286857136544,0.003081965789302851,3.8888448725602656,1.0842084103124727e-4,amravati
total_minority_children_getting_,0.008480891966131074,0.004292657679314095,1.9756739529917975,0.04850844310431065,amravati
total_underweight_child_age_unde,0.04954951303546108,0.01854155771456009,2.6723489902119413,0.007673639803111871,amravati
availability_of_high_school,3.2128255936766137,1.2075683806756876,2.6605744611157314,0.007961663951145918,aurangabad
availability_of_mid_day_meal_sch,3.813500953970072,1.299990444715819,2.9334838340321125,0.0034504352552467733,aurangabad
gp_total_no_of_eligible_benefici,-0.009515282191671566,0.004415135307205122,-2.155150755208666,0.03145659098402881,aurangabad
total_minority_children_getting_,0.01387088677265717,0.006430558705478259,2.157026692072715,0.03130960537662762,aurangabad
total_no_of_farmers_received_ben,0.00494538787764945,0.001927419429192256,2.565807837540564,0.01048003467151139,aurangabad
total_no_of_lactating_mothers,0.05447381455736029,0.02456396906230817,2.217630807919672,0.026868575547041952,aurangabad
total_no_of_newly_born_underweig,-0.08753417628877896,0.028863531870134736,-3.032691102482544,0.002504460171620903,aurangabad
total_no_of_women_delivered_babi,0.1144421473264954,0.05320100948717949,2.1511273644924715,0.031773837511616235,aurangabad
total_shg,0.041927393640424894,0.0131300349376929,3.193243113166615,0.0014635392711368645,aurangabad
weekly_haat,4.713746934241886,1.2329517033524169,3.8231399668171324,1.4230974321745174e-4,aurangabad
availability_of_adult_edu_centre,7.079126040433896,1.8187339520975976,3.8923373219427386,1.1427321259906722e-4,bhandara
is_broadband_available,2.1084549999814017,1.0123637503224336,2.08270495591122,0.03784102506897735,bhandara
total_hhd_having_bpl_cards,0.020585361519371546,0.00481994516839222,4.2708704767772625,2.375938283223087e-5,bhandara
total_hhd_having_piped_water_con,0.007834101065055502,0.0032882615104604393,2.3824446565864923,0.01761159142431434,bhandara
total_hhd_registered_under_pmjay,0.01276129493007016,0.0047839457863608085,2.6675249887766377,0.007916237896214927,bhandara
total_shg,0.03939536410282778,0.013540545696824112,2.9094369595508867,0.003799808616153077,bhandara
availability_of_govt_degree_coll,-6.810037507763707,1.6938736206925165,-4.020392917494942,6.302365172779496e-5,bid
availability_of_mid_day_meal_sch,3.9090750972747794,1.0762964483264283,3.6319687790042785,2.9734423177791766e-4,bid
availability_of_middle_school,1.9624934757505577,0.6678014464940848,2.938737982754491,0.0033806487562363214,bid
sub_centre,3.5357615454207347,1.1673994247480115,3.0287504606094395,0.00252656560512137,bid
total_hhd_having_bpl_cards,0.0055358357613625505,0.0020426408017703065,2.7101366802057307,0.006854926378889255,bid
total_no_of_farmers_received_ben,0.0024859956917769412,0.001112131772316425,2.2353427477383705,0.025642197716533074,bid
total_no_of_lactating_mothers,0.0780148763136898,0.0156047593863355,4.999428339920735,6.924799694505834e-7,bid
total_underweight_child_age_unde,0.03973408285134901,0.01870477364006372,2.1242749907565117,0.03392230067138868,bid
availability_of_high_school,4.5969778974878714,1.469458200819034,3.128348866899138,0.0018240476268053113,buldana
chc,-2.596189624256328,1.273511909480236,-2.038606474686147,0.04182999276013021,buldana
recreational_centre,-3.289721024469082,0.9130886151409863,-3.6028496795583522,3.3493993309327926e-4,buldana
total_hhd_having_pmsbhgy_benefit,0.0089925628876884,0.003725159498849682,2.4140074781939607,0.016010155264575568,buldana
total_no_of_beneficiaries_receiv,0.10378514114924092,0.04339332862420774,2.3917303521016944,0.01700783638202409,buldana
availability_of_middle_school,2.0831753243820885,0.6746506715419057,3.0877836667990226,0.0020820454594393913,chandrapur
availability_of_public_library,1.9345389158140853,0.9055125505111223,2.1364021014641073,0.03293167229937351,chandrapur
gp_total_hhd_receiving_food_grai,-0.0067487913919743675,0.0024167391582663052,-2.7925195687298516,0.005347366224199452,chandrapur
no_of_children_not_attending_sch,0.059047838210358305,0.007804541944614405,7.5658300806628125,1.0013639624110667e-13,chandrapur
public_transport,2.1132269573362237,0.6974699217951447,3.029846723565097,0.0025208629312846657,chandrapur
sub_centre,1.573497969353828,0.7422396053295123,2.1199326444663167,0.03430092929325012,chandrapur
telephone_services,-1.6647460467698345,0.8343404552382159,-1.9952838632216703,0.04633074081907172,chandrapur
total_hhd_availing_pmjdy_bank_ac,0.012823217980185658,0.0028467540777953495,4.504505001048955,7.582311821970642e-6,chandrapur
total_hhd_got_benefit_under_stat,0.01701837723308838,0.006948118514474629,2.449350453311201,0.014512290290386497,chandrapur
total_hhd_having_bpl_cards,0.006509436462355936,0.0027914106682954977,2.3319522764204215,0.019935953502239385,chandrapur
total_hhd_having_piped_water_con,0.00659494715299514,0.0026265842292175425,2.510845485035053,0.012228812149280559,chandrapur
total_no_of_beneficiaries_receiv,-0.14081223824436523,0.07054301436892003,-1.996118814939733,0.04623961963945605,chandrapur
total_no_of_farmers_received_ben,0.009223716672923873,0.0030064118717353697,3.06801498478641,0.002223196685554119,chandrapur
total_no_of_farmers_subscribed_a,0.009601024092261145,0.0045394997892148695,2.1149960431921713,0.03472073175254558,chandrapur
total_no_of_women_delivered_babi,0.13255008165992566,0.0654775776616626,2.0243583589002303,0.04324557533858058,chandrapur
total_shg,0.02883369217583363,0.010940152152731102,2.6355842015081645,0.008552301407092979,chandrapur
is_primary_school_with_computer_,4.823008563497646,1.5494622363352388,3.1126983610164918,0.0019784616994953743,dhule
is_vocational_edu_centre_availab,-8.924349949565954,4.491010361658048,-1.987158619307026,0.04754332338707779,dhule
sub_centre,4.432779188608438,1.7358460636216226,2.5536706747832274,0.011005840599003251,dhule
total_hhd_having_bpl_cards,0.011747922594142444,0.003762779666994225,3.1221393846658296,0.0019174819034203706,dhule
total_no_of_newly_born_underweig,-0.14180024301627878,0.07078706575497211,-2.0031942488917007,0.045787945640070195,dhule
availability_of_govt_degree_coll,-7.611883785455902,1.8809082561451482,-4.046919226701772,5.6520155813459724e-5,gadchiroli
availability_of_mother_child_hea,1.798738802258639,0.6545088039997654,2.7482270540386553,0.006116022826407721,gadchiroli
is_primary_school_with_computer_,1.5516480826920735,0.5799050003500307,2.675693573525834,0.007597796027003577,gadchiroli
recreational_centre,2.1431086365719936,0.5932977221842034,3.612197647889527,3.210266758795401e-4,gadchiroli
total_hhd_having_bpl_cards,0.011133102685717204,0.004209242444253985,2.644918375018988,0.00831854028811783,gadchiroli
total_no_of_farmers_received_ben,0.00935476148773485,0.004384932420943709,2.133387835820182,0.033172458493428356,gadchiroli
total_no_of_newly_born_children,0.07213572302442571,0.03316302667581766,2.1751851460839906,0.029885205572682535,gadchiroli
total_no_of_newly_born_underweig,-0.175397534095762,0.08746008925258818,-2.005457981974007,0.04522374003152052,gadchiroli
total_no_of_pregnant_women,0.12736070748031458,0.059825947261729635,2.1288540058234333,0.033547004722314686,gadchiroli
total_shg,0.12265698516241924,0.03508619264533894,3.4958761813306563,4.964269222074349e-4,gadchiroli
availability_of_mid_day_meal_sch,4.773750859401557,1.7530756057156054,2.723071865148059,0.0066809892148365696,gondiya
availability_of_ssc_school,3.1324636839072584,1.5205855371608148,2.060037799488799,0.03988258257614369,gondiya
gp_total_hhd_receiving_food_grai,-0.01253450463543221,0.003696831586197406,-3.3906074277852927,7.493762633632832e-4,gondiya
is_atm_available,4.789979079561432,2.3853024393908386,2.0081223246410222,0.04513719999503989,gondiya
sub_centre,2.6870440619896394,1.2865206930398592,2.0886131692452996,0.03721912901738979,gondiya
total_hhd_having_bpl_cards,0.016401323577232067,0.0051446338526304975,3.188044872978846,0.0015169373048418474,gondiya
total_hhd_having_pmsbhgy_benefit,0.01887820132473384,0.0071310181255383204,2.6473360454835086,0.008354338855804116,gondiya
total_no_of_beneficiaries_receiv,0.22207032553006673,0.08235350911438809,2.6965496421240966,0.007229080560398044,gondiya
total_no_of_farmers_subscribed_a,0.013763864599993287,0.005941397118234452,2.3166040454948353,0.02090571989302404,gondiya
total_no_of_newly_born_children,0.08285147480667006,0.03558210646556913,2.3284589653746592,0.020262971275382995,gondiya
total_no_of_pregnant_women,-0.11907376982686738,0.05293704185066832,-2.249346878179671,0.024900116578477384,gondiya
total_shg,0.062003812107843906,0.015485821672241598,4.003908440905399,7.119757177878848e-5,gondiya
availability_of_public_library,-8.19504463469886,2.4452103222769987,-3.351468198885882,8.77678815565991e-4,hingoli
chc,10.54545829684466,2.627548350306876,4.013421216630719,7.103471460702217e-5,hingoli
gp_total_hhd_receiving_food_grai,0.02479398332913504,0.007538464239542814,3.2889966100892085,0.0010913903430810772,hingoli
sub_centre,-6.037992607201899,2.630698812739054,-2.2952048246508343,0.022220722548941342,hingoli
total_hhd_availing_pmjdy_bank_ac,-0.0207617139007069,0.007151626911209001,-2.903075643972188,0.0038927923515603754,hingoli
total_hhd_got_benefit_under_stat,0.0513201777857608,0.020649243147320244,2.485329724659709,0.013337027801330418,hingoli
total_no_of_farmers_received_ben,0.01881091478166937,0.00844531816216306,2.2273778702555616,0.026458943030930687,hingoli
weekly_haat,9.437568692056715,2.497813648511893,3.7783317813477706,1.8104189229237207e-4,hingoli
availability_of_govt_degree_coll,4.78033638916078,2.208196955125265,2.164814319694415,0.030656231995037305,jalgaon
availability_of_high_school,3.248932026172196,1.1942204143513082,2.7205463808261827,0.006639307352650684,jalgaon
