theme,variable,frequency,avg_estimate,avg_adj_r2
Education,availability_of_high_school,31,5.58847159955389,0.03987195749877539
Education,availability_of_middle_school,30,4.967639207122504,0.044128157356501614
Education,total_minority_children_getting_,29,0.02794324565667732,0.025370654486668125
Education,availability_of_ssc_school,28,5.562338748646526,0.025324768540989806
Education,availability_of_public_library,18,3.7299881715510463,0.021588150050030133
Education,no_of_children_not_attending_sch,16,0.03574847942214249,0.028094089068382476
Facilities,total_hhd_having_piped_water_con,30,0.01167465631069187,0.04701177822090057
Facilities,is_bank_available,29,6.1858404474109046,0.03074184591405805
Facilities,is_atm_available,27,6.441863140542752,0.022434837098065537
Facilities,is_primary_school_with_computer_,25,3.398393527210522,0.021033813495697423
Facilities,weekly_haat,23,5.16304776193045,0.030357283342062755
Facilities,is_broadband_available,21,3.7206255509302104,0.02682451584721354
Health,total_no_of_women_delivered_babi,31,0.23036236916710867,0.042764249467999484
Health,total_no_of_newly_born_children,30,0.11656222483773382,0.0431880573916379
Health,total_no_of_lactating_mothers,28,0.13672186491241695,0.03951129290759105
Health,total_no_of_pregnant_women,28,0.12471480335962876,0.033689594939102875
Health,sub_centre,25,3.733570926932144,0.014967859342045396
Health,availability_of_mother_child_hea,21,3.4574264609397374,0.022684303507678825
Others,total_hhd_availing_pmjdy_bank_ac,32,0.014630161972874214,0.04945307310218375
Others,total_hhd_having_bpl_cards,32,0.016658762300228887,0.0537595793415106
Others,gp_total_hhd_receiving_food_grai,31,0.010843305538992537,0.03406902661378796
Others,total_hhd_registered_under_pmjay,30,0.018920486345213695,0.036068725881912594
Others,total_no_of_beneficiaries_receiv,29,0.2389446107704788,0.030188810916923856
Others,total_shg_accessed_bank_loans,29,0.23487702224486467,0.031119513524431847
